slope_deg,ndvi,rainfall_mm,dist_road_m,dist_stream_m,soil_clay_pct,risk_score,risk_class
4.4908066,0.38407108,295.6561,94.86833,2040.2206,35.10727,0.2699426,Medium
8.689017,0.42971233,295.6316,67.08204,2010.2239,35.1066,0.27646694,Medium
4.4991455,0.45267037,295.60712,42.426407,1980.2273,35.105934,0.24746242,Low
7.1491427,0.38732988,295.58264,30.0,1950.2307,35.105263,0.28466365,Medium
8.79626,0.3755817,295.55817,30.0,1920.2344,35.104595,0.2972359,Medium
8.176821,0.3951914,295.53366,30.0,1890.238,35.103928,0.2871757,Medium
6.3838735,0.41048163,295.5092,30.0,1860.242,35.10326,0.27248284,Medium
5.3160114,0.32534727,295.4847,30.0,1830.2458,35.10259,0.2961884,Medium
3.8513663,0.18578996,295.4602,0.0,1800.25,35.10192,0.4334966,Medium
8.323041,0.26453245,295.43573,30.0,1770.2543,35.101254,0.3326986,Medium
9.202461,0.32542932,295.41125,60.0,1740.2585,35.100586,0.3146371,Medium
8.29516,0.3376676,295.38678,90.0,1710.2632,35.099915,0.30507517,Medium
9.598159,0.436937,295.3623,120.0,1680.2678,35.099247,0.27731234,Medium
12.744705,0.41511387,295.33783,150.0,1650.2727,35.09858,0.30101514,Medium
16.516972,0.36061546,295.31332,174.92856,1620.2777,35.09791,0.33931547,Medium
17.30343,0.39925092,295.1699,201.24612,1590.283,35.09724,0.3296627,Medium
14.891456,0.4175804,294.87668,228.47319,1560.2885,35.096573,0.30996922,Medium
9.836947,0.3706496,294.58347,256.3201,1530.2941,35.095905,0.29899743,Medium
6.5555034,0.38676417,294.29025,284.60498,1500.2999,35.095234,0.27555197,Medium
9.3812475,0.43588054,293.99704,313.2092,1470.306,35.094566,0.2725959,Medium
10.660398,0.47546464,293.70386,300.0,1440.3125,35.0939,0.26490378,Medium
9.231643,0.5235081,293.41064,270.0,1410.3191,35.09323,0.24019277,Low
12.403485,0.5511227,293.11746,240.0,1380.326,35.09256,0.24653184,Low
11.964104,0.5569545,292.82428,210.0,1350.3333,35.091892,0.24155468,Low
21.495588,0.5406811,292.53107,180.0,1320.3408,35.091225,0.2962298,Medium
31.947727,0.4969174,292.2379,150.0,1290.3488,35.090557,0.36521494,Medium
25.071213,0.48277617,291.9447,120.0,1260.357,35.089886,0.3336485,Medium
12.756076,0.5232495,291.65155,90.0,1230.3658,35.08922,0.25499463,Medium
12.730444,0.42269015,291.35837,60.0,1200.375,35.08855,0.28933114,Medium
4.266172,0.309604,291.06522,30.0,1170.3845,35.087883,0.28501305,Medium
13.214546,0.32671183,290.77206,0.0,1140.3947,35.08721,0.42197502,Medium
